,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020
35,35.0,Rangpur,Kurigram,621,7875,12.08.2020,,149,7,6,11,8,8,2,2,6,15,2,15,9,8,7,15,20,12,13,17,18,7,10,16,13,4,10,15,17,11,13,11,14,7,8,10,10,8,,,,,,,,,,,,,,,,,,
36,36.0,Rangpur,Dinajpur,2290,7875,12.08.2020,,675,19,36,36,34,28,40,29,41,34,40,33,32,42,18,36,15,29,27,28,45,44,52,58,46,56,32,19,43,77,65,51,57,58,47,42,53,53,,,,,,,,,,,,,,,,,,
37,37.0,Rangpur,Panchagarh,430,7875,12.08.2020,,146,2,2,3,0,6,1,0,4,9,1,4,16,0,7,4,11,13,8,8,15,15,14,14,7,7,10,4,5,0,16,14,8,6,8,18,7,8,,,,,,,,,,,,,,,,,,
38,38.0,Rangpur,Thakurgaon,569,7875,12.08.2020,,206,10,2,5,7,5,0,6,5,0,0,6,11,1,8,1,7,5,11,11,15,14,9,9,4,12,8,24,14,1,9,28,26,13,18,23,7,17,,,,,,,,,,,,,,,,,,
39,39.0,Khulna,Khulna,4890,15022,08/12/2020,,,,,,,3030,,92,104,,,80,,,73,,,64,60,53,46,70,64,53,61,30,15,24,24,78,39,54,39,62,84,59,,,,,,,,,,,,,,,,,,,,
40,40.0,Khulna,Jashore,2396,15022,08/12/2020,,,,,,,984,,37,65,,,71,,,27,,,10,63,2,55,52,2,52,107,0,4,0,0,76,77,60,56,51,69,61,,,,,,,,,,,,,,,,,,,,
41,41.0,Khulna,Bagerhat,727,15022,08/12/2020,,0,12,34,7,13,288,12,20,15,2,7,33,12,5,22,42,14,20,6,3,3,21,2,26,8,0,26,0,0,1,0,57,24,3,2,4,,,,,,,,,,,,,,,,,,,,
42,42.0,Khulna,Narail,968,15022,08/12/2020,,,,,,,391,,31,13,,,23,,,0,,,44,0,30,26,19,0,32,29,1,40,1,1,21,24,23,26,6,18,20,,,,,,,,,,,,,,,,,,,,
43,43.0,Khulna,Magura,631,15022,08/12/2020,,,,,,,191,,22,23,,,11,,,4,,,11,8,10,0,24,0,20,13,0,8,0,0,31,21,16,11,14,20,24,,,,,,,,,,,,,,,,,,,,
44,44.0,Khulna,Meherpur,295,15022,08/12/2020,,,,,,,100,,4,4,,,5,,,9,,,3,5,0,2,0,11,8,6,9,0,1,1,3,10,14,13,21,3,15,,,,,,,,,,,,,,,,,,,,
